ID_UBICACIO,DS_UBICACIO,ID_EDIFICI,CAPACIDAD
Q1/1003,aula q1/1003 (dues portes),Q,70
Q3/0013,aula q3/0013,Q,33
Q4/1013,aula q4/1013 (dues portes),Q,69
Q1/0007,aula d'informàtica a (2 portes,Q,68
Q6/2008,laboratori,Q,20
QC/3047,laboratori,Q,20
QC/2090,laboratori 2,Q,20
QC/0107,laboratori de recerca,Q,20
QP/0006,laboratori de recerca,Q,20
QP/0009.2,laboratori de recerca,Q,20
QP/0009.6,laboratori de recerca,Q,20
Q5/1010,laboratori docent automàtica,Q,21
Q5/1005,laboratori docent ee,Q,21
Q5/2006,laboratori docent me,Q,21
Q2/1005,aula q2/1005 (dues portes),Q,50
Q3/0003,aula q3/0003 (dues portes),Q,70
Q3/1011,aula q3/1011 (tres portes),Q,86
Q2/0017,lab. integrat informàtica 4,Q,21
QC/2045,laboratori,Q,20
QC/2082,laboratori 1,Q,20
QC/0069,laboratori de recerca,Q,20
QC/0075,laboratori de recerca,Q,20
QC/0111,laboratori de recerca,Q,20
QP/0005.2,laboratori de recerca,Q,20
QP/0008.2,laboratori de recerca,Q,20
Q5/1009,laboratori docent elect.gral.,Q,21
QC/2161,laboratori docent,Q,21
Q6/2007,laboratori docent telecomunic.,Q,21
QC/2015,laboratori kleinrock,Q,21
Q1/1007,aula q1/1007 (dues portes),Q,68
Q2/1013,aula q2/1013 (dues portes),Q,68
Q6/1006,lab doc eq b (q6/0007+q6/0008),Q,21
QC/2011,laboratori a. turing,Q,20
QC/0085,laboratori de recerca,Q,20
QC/0087.5,laboratori de recerca,Q,20
QC/0109,laboratori de recerca,Q,20
QC/0113,laboratori de recerca,Q,20
QP/0008,laboratori de recerca,Q,20
QP/0008.4,laboratori de recerca,Q,20
QP/0009.5,laboratori de recerca,Q,20
Q5/2009,laboratori docent ccd,Q,21
Q5/1011,laboratori docent dcc (q5/1012,Q,21
Q6/1012,laboratori docent em 2,Q,21
Q2/0001,pas.lab.int. + sala d'estudis,Q,27
Q3/0009,aula q3/0009,Q,33
Q1/1011,aula q1/1011 (tres portes),Q,103
Q2/1003,aula q2/1003,Q,53
Q2/1009,aula q2/1009 (dues portes),Q,68
Q4/1003,aula q4/1003,Q,53
QC/1033,lab. de recerca b,Q,20
QC/1082,lab. recerca (qc/1086-qc/1090),Q,20
Q6/1014,laboratori,Q,21
QC/2057,laboratori,Q,20
QC/2059,laboratori,Q,20
QC/0087,laboratori de recerca,Q,20
QP/0009.3,laboratori de recerca,Q,20
Q6/2004,laboratori docent elect.p/tele,Q,21
QC/3010,laboratori projectes,Q,20
Q2/0019,lab. integrat informàtica 5,Q,21
Q6/2009,laboratori,Q,21
QC/2043,laboratori,Q,20
QC/2053,laboratori,Q,20
QC/3088,laboratori,Q,21
QC/1031,laboratori de receca,Q,20
QC/0089,laboratori de recerca,Q,20
QP/0003,laboratori de recerca,Q,20
QP/0005,laboratori de recerca,Q,20
QP/0008.3,laboratori de recerca,Q,20
QC/3078,laboratori clúster,Q,20
Q5/1006,laboratori de projectes ee,Q,21
QC/2149,laboratori docent,Q,21
QC/2163,laboratori docent,Q,21
Q4/0003,aula q4/0003 (dues portes),Q,70
Q4/0011,aula q4/0011 (tres portes),Q,86
Q1/0019,aula d'informàtica b,Q,68
Q6/0006,lab.doc.(q6/0005-0007-0008),Q,21
QC/1084,lab.recerca ii(qc/1088-qc/1092,Q,20
QC/0067,laboratori de recerca,Q,20
QC/0073,laboratori de recerca,Q,20
QC/0087.1,laboratori de recerca,Q,20
Q5/0004,laboratori docent acso,Q,21
Q6/1011,laboratori docent em 1,Q,21
QC/2101,laboratoriisional i.c.n.,Q,21
Q1/0001,pas. aula inf.+ sala graus,Q,27
QC/2165,laboratori,Q,21
Q4/1005,aula q4/1005,Q,51
Q4/1009,aula q4/1009 (dues portes),Q,68
Q2/0011,lab. integrat informàtica 2,Q,21
Q5/0003,lab. docent estruct. comput.,Q,21
QC/0077,laboratori de recerca,Q,20
QC/0079,laboratori de recerca,Q,20
QC/0081,laboratori de recerca,Q,20
Q5/2007,laboratori cèl·lula flexible,Q,21
QC/0083,laboratori de recerca,Q,20
QP/0005.1,laboratori de recerca,Q,20
Q5/2008,laboratori docent ccd,Q,21
Q6/2005,laboratori docent comunicació,Q,21
Q5/2003,laboratori docent sist. dig.,Q,21
Q4/0007,aula q4/0007 (dues portes),Q,86
Q2/0007,lab. integrat informàtica 1,Q,21
Q2/0013,lab. integrat informàtica 3,Q,21
QC/2061,laboratori,Q,20
QP/0003.1,laboratori,Q,20
QC/2099,laboratori docent,Q,21
QC/2155,laboratori docent,Q,21
C3B/010,aula docent,C,94
C2/057-2,laboratori,C,20
C3/209-1,laboratori,C,20
C3/231-1,laboratori,C,20
C5B/-106B,laboratori,C,20
C7/019A,laboratori,C,20
C7/019B,laboratori,C,20
C7/328,laboratori,C,20
C7/353,laboratori,C,20
C7B/-132,laboratori,C,20
C3/341,laboratori de docència,C,21
C3/440,laboratori de docència,C,21
C5/-118,laboratori de docència,C,21
C5/313,laboratori de docència,C,21
C5/411,laboratori de docència,C,21
C7/228,laboratori de docència,C,21
C7/434,laboratori de docència,C,21
C2/328,laboratori de docència (paleo),C,21
C1/119-1,laboratori de receca,C,20
C2/336,laboratori de receca,C,20
C2/338,laboratori de receca,C,20
C2/349,laboratori de receca,C,20
C3/432,laboratori de receca,C,20
C3/436,laboratori de receca,C,20
C3/438,laboratori de receca,C,20
C7/209,laboratori de receca,C,20
C7/215,laboratori de receca,C,20
C3/223,laboratori de recerca,C,20
C3/235,laboratori de recerca,C,20
C2/057,laboratori de recerca (ria),C,20
C3/424,laboratori docent,C,21
C2/-137,laboratori integrat núm. 2,C,21
C2/182,laboratori microscopia,C,20
C5/325,laboratori docentr,C,21
C2/-171,laboratori euap,C,20
C2/014,laboratori microscòpia,C,20
C2/074,laboratori de petrologia,C,20
C2/437,laboratori de docència,C,21
C3/-116,laboratori de docència,C,21
C3/-126,laboratori de docència,C,21
C1/009,aula,C,58
C3/018,aula,C,100
C3/020,aula,C,92
C5/020,aula,C,34
C5/073,aula d'informàtica,C,56
C3/032,aula,C,90
C7/511,lab. especial alt risc,C,20
C3/115-1,laboratori,C,20
C5B/056,laboratori,C,20
C7/-114,laboratori,C,20
C7/415,laboratori,C,20
C2/053,laboratori - sala matances,C,20
C5/229,laboratori de docència,C,21
C7/104,laboratori de docència,C,21
C1/341,laboratori de receca,C,20
C2/-112,laboratori de receca,C,20
C2/082-1,laboratori de receca,C,20
C2/241,laboratori de receca,C,20
C2/329,laboratori de receca,C,20
C7/-116,laboratori de receca,C,20
C7/218,laboratori de receca,C,20
C7/309,laboratori de receca,C,20
C7/408,laboratori de receca,C,20
C7/457,laboratori de receca,C,20
C2/063,laboratori de recerca,C,20
C5/122,laboratori de recerca,C,20
C7/052,laboratori de recerca,C,20
C2/059,laboratori de recerca (mt),C,20
C2/237,laboratori de recerca 7,C,20
C3/314,laboratori docent,C,21
C3/324,laboratori docent,C,21
C3/354.2,laboratori docent,C,21
C3B/-106,aula  crm,C,33
C3/241-1,laboratori de recerca,C,20
C1/013,aula,C,82
C3/016,aula,C,94
C5/030,aula,C,34
C5/032,aula,C,28
C2/-173,laboratori ultramicrotomia,C,20
C2/413,laboratori de docència,C,21
C3/036,aula,C,66
C5B/031,aula,C,37
C5/329,laboratori,C,21
C5B/034,lab. recerca creaf ecologia,C,20
C3/047,laboratori,C,20
C5/351,laboratori,C,21
C5B/050-2,laboratori,C,20
C5B/052,laboratori,C,20
C7/223,laboratori,C,20
C7/357,laboratori,C,20
C5/258,laboratori (ieec),C,12
C2/425,laboratori anàlisi bioquímic,C,16
C5B/-166,laboratori de docència,C,21
C5B/-168,laboratori de docència,C,21
C7/406,laboratori de docència,C,21
C2/074-1,laboratori de receca,C,20
C2/225,laboratori de receca,C,20
C2/404,laboratori de receca,C,20
C2/430,laboratori de receca,C,20
C3/434,laboratori de receca,C,20
C3/438-1,laboratori de receca,C,20
C2/-118,laboratori de recerca,C,20
C2/-120,laboratori de recerca,C,20
C2/080,laboratori de recerca,C,20
C5/124,laboratori de recerca,C,20
C3/316,laboratori docent,C,21
C2/-147,laboratori integrat núm. 4,C,21
C5/163,laboratoris docents,C,21
C2/-160BIS,laboratori docent,C,21
C7/042,laboratori melissa,C,20
C1/329,laboratori micologia,C,20
C5/341.1,laboratori recerca,C,20
C5B/-162,laboratori de docència,C,21
C3/-114,laboratori de docència,C,21
C3/-128,laboratori de docència,C,21
C5/219,aula de docència,C,71
C5/012,aula,C,50
C5/-106,aula de biotecnologia,C,71
C5/125,aula,C,52
C5/135,aula,C,75
C3B/008,aula,C,43
C5/017,aula,C,52
C5/454,aula collserola,C,30
C5/065,aula d'informàtica,C,68
C3B/013,aula docent,C,60
